Fecha,Región,Precio Pago Industrial,Valor Compensación,Precio Mínimo Garantía
01/01/2007,Costa Llanos,3091160,1158840,4250000
01/02/2007,Costa Llanos,3022461,1227539,4250000
01/03/2007,Costa Llanos,2943164,1306836,4250000
01/04/2007,Costa Llanos,2913805,1336195,4250000
01/05/2007,Costa Llanos,2765969,1484031,4250000
01/01/2008,Costa Llanos,3248405,1051595,4300000
01/02/2008,Costa Llanos,3320760,979240,4300000
01/03/2008,Costa Llanos,3362933,937067,4300000
01/04/2008,Costa Llanos,3206540,1093460,4300000
01/05/2008,Costa Llanos,3076375,1223625,4300000
01/06/2008,Costa Llanos,3039851,1260149,4300000
01/12/2008,Costa Llanos,2896497,1903503,4800000
01/01/2009,Costa Llanos,2811989,1988011,4800000
01/02/2009,Costa Llanos,3038856,1761144,4800000
01/03/2009,Costa Llanos,3115453,1684547,4800000
01/04/2009,Costa Llanos,2872170,1927830,4800000
01/05/2009,Costa Llanos,3099367,1700633,4800000
07/12/2009,Costa Llanos,3380404,1619596,5000000
14/12/2009,Costa Llanos,3497687,1502313,5000000
21/12/2009,Costa Llanos,3487351,1512649,5000000
28/12/2009,Costa Llanos,3550397,1449603,5000000
04/01/2010,Costa Llanos,3392411,1607589,5000000
11/01/2010,Costa Llanos,3302150,1697850,5000000
18/01/2010,Costa Llanos,3235231,1764769,5000000
25/01/2010,Costa Llanos,3175714,1824286,5000000
01/02/2010,Costa Llanos,3135768,1864232,5000000
08/02/2010,Costa Llanos,3305717,1694283,5000000
15/02/2010,Costa Llanos,3410491,1589509,5000000
22/02/2010,Costa Llanos,3585391,1414609,5000000
01/03/2010,Costa Llanos,3650271,1349729,5000000
08/03/2010,Costa Llanos,3508286,1491714,5000000
15/03/2010,Costa Llanos,3568723,1431277,5000000
22/03/2010,Costa Llanos,3590939,1409061,5000000
29/03/2010,Costa Llanos,3587508,1412492,5000000
05/04/2010,Costa Llanos,3565279,1434721,5000000
12/04/2010,Costa Llanos,3556242,1443757,5000000
19/04/2010,Costa Llanos,3707946,1292054,5000000
26/04/2010,Costa Llanos,3751611,1248389,5000000
03/05/2010,Costa Llanos,3694551,1305449,5000000
10/05/2010,Costa Llanos,3717013,1282986,5000000
17/05/2010,Costa Llanos,3799307,1200693,5000000
24/05/2010,Costa Llanos,3745751,1254249,5000000
01/06/2010,Costa Llanos,3589792,1410208,5000000
07/06/2010,Costa Llanos,3629041,1370959,5000000
14/06/2010,Costa Llanos,3631019,1368981,5000000
21/06/2010,Costa Llanos,3672215,1327785,5000000
28/06/2010,Costa Llanos,3654301,1345699,5000000
06/12/2010,Costa Llanos,5996559.92,,4650000
13/12/2010,Costa Llanos,6315282.22,,4650000
20/12/2010,Costa Llanos,6783249.72,,4650000
27/12/2010,Costa Llanos,6470091.29,,4650000
